Date,Hotel Name,Location,Booked On,Number of Nights,Cost,Paid?
01/04/2021,Vera 857,"Buenos Aires, Argentina",Airbnb,2,50,Yes
03/04/2021,NaMaRa,"Iguazu Falls, Argentina",Booking.com,3,71,Yes
06/04/2021,Armonia,"Mendoza, Argentina",Airbnb,3,55.6,Yes
09/04/2021,MyLUXAPART,"Santiago, Chile",Booking.com,3,88.5,Yes
12/04/2021,Hotel 53 Sur,"Puerto Natales, Chile",Booking.com,1,18.2,Yes
13/04/2021,Rancho Grande,"El Chalten, Argentina",Booking.com,1,91.13,Yes
17/04/2021,Bla Lodge,"El Calafate, Argentina",Booking.com,4,54.4,Yes
21/04/2021,Hotel 53 Sur,"Puerto Natales, Chile",Booking.com,1,18.15,Yes
22/04/2021,Hostal Residencial Buines,"Punta Arenas, Chile",Booking.com,1,25.19,Yes
24/04/2021,Ckury Lickan 3,"San Pedro de Atacama, Chile",Airbnb,2,52.14,Yes
29/04/2021,Otero de la Vega,"La Paz, Bolivia",Airbnb,5,129.4,Yes
04/05/2021,Hotel Oriental,"Rurrenabaque, Bolivia",Booking.com,1,16,Yes
05/05/2021,Atarisi Lodge,"Rurrenabaque, Bolivia",Booking.com,2,125,Yes
07/05/2021,Hotel Oriental,"Rurrenabaque, Bolivia",Booking.com,1,16,Yes
10/05/2021,Hotel Oriental,"Rurrenabaque, Bolivia",Booking.com,1,16,Yes
11/05/2021,Loki Boutique,"La Paz, Bolivia",Booking.com,1,19,Yes
13/05/2021,Carlos Guest House,"Cusco, Peru",Booking.com,1,9,Yes
14/05/2021,Hostal Dennys House,"Machu Picchu, Peru",Booking.com,1,17,Yes
15/05/2021,Carlos Guest House,"Cusco, Peru",Booking.com,1,9,Yes
16/05/2021,Barranco Apartment,"Lima, Peru",Airbnb,27,736.52,Yes
12/06/2021,Provenza Apartment,"Medellin, Colombia",Airbnb,8,221.52,Yes
20/06/2021,St Patrick Hostel,"Cartagena, Colombia",Booking.com,1,14,Yes
21/06/2021,Manigua Taganga,"Taganga, Colombia",Booking.com,3,42,Yes
24/06/2021,St Patrick Hostel,"Cartagena, Colombia",Booking.com,1,20,Yes
25/06/2021,Abraham's Airbnb,"Panama City, Panama",Airbnb,2,33,Yes
